"description","name","sequence"
"Fe360B","S235_JR_UNIEN_10025",""
"Fe360C","S235_J0_UNIEN_10025",""
"Fe360D1","S235_J2G3_UNIEN_10025",""
"Fe430B","S275_JR_UNIEN_10025",""
"Fe430C","S275_J0_UNIEN_10025",""
"Fe430D1","S275_J2G3_UNIEN_10025",""
"Fe510B","S355_JR_UNIEN_10025",""
"Fe510C","S355_J0_UNIEN_10025",""
"Fe510D1","S355_J2G3_UNIEN_10025",""
"Acciaio da cementazione","18NiCrMo5_UNI_7846",""
"Acciaio da bonifica","39NiCrMo3_UNI_7845",""
"Bronzo","B10_UNI_1701",""
"Bronzo","B14_UNI_1701",""
"Bronzo","B20_UNI_1701",""
"Bronzo alluminio","CuAl11Fe4Ni4_UNI_5275",""
"Ghisa","GS400/15_UNI_4544",""
"Ghisa","GS600/3_UNI_4544",""
"Ghisa","G20_UNI_5700",""
"Ghisa","G30_UNI_5700",""
"acciaio","Fe27",""
"acciaio","Fe37",""
"acciaio","C40",""
"acciaio       ","C43",""
"acciaio","C60",""
"acciaio da bonifica","38NCD4",""
"acciaio da cementazione","10NC2",""
"lega leggera tipo AVIONAL","PALSi04Mg",""
"acciaio INOX","AISI304",""
"acciaio da costruzione INOX saldabile","AISI316L",""
